School,Conf,Coach,NCAAFBREV16 ,MedianConfSal,SchoolPay,TotalPay,BonusMax,PayPlusBonus,StadSize, Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Central Florida,AAC,Josh Heupel,56327225,2458033,873.1381613,873.1381613,128.4026708,873.1381613,45301,64,58,17,44,94,,,,,,,
Central Michigan,MAC,John Bonamego,34692784,492413,336.4149974,336.4149974,213.1484335,359.5274782,32885,64,38,17,27,115,6,7,0.857142857,-4.7,-0.9,-5.6,70.47
Charlotte,C-USA,Brad Lambert,37931802,782787,321.0066769,321.0066769,61.63328197,321.0066769,15314,56,3,10,11,129,4,8,0.5,-6.5,-6.01,-12.51,67.25
Cincinnati,AAC,Luke Fickell,60458195,2458033,1027.221366,1027.221366,321.0066769,1027.221366,40000,56,50,10,41,97,4,8,0.5,-9.46,0.29,-9.17,65.2
Clemson,ACC,Dabo Swinney,112600964,2458033,3186.954289,3360.734463,577.8120185,3617.539805,81500,56,114,10,81,39,14,1,14,9.4,10.68,20.08,91.53
Coastal Carolina,Sun Belt,Joe Moglia,33703994,675000,205.4442732,205.4442732,410.8885465,218.2845403,9214,85,1,107,37,104,,,,,,,
Colorado,Pac-12,Mike MacIntyre,94226111,2752233,1478.428351,1478.428351,1104.262969,1630.970724,50183,83,70,97,84,32,10,4,2.5,2.32,9.86,12.18,79.41
Colorado State,Mt. West,Mike Bobo,44672317,879288,924.4992296,924.4992296,464.8176682,950.1797637,34400,83,42,97,67,57,7,6,1.166666667,5.18,-2.66,2.52,80.23
Connecticut,AAC,Randy Edsall,83374223,2458033,564.9717514,564.9717514,333.846944,631.2275295,40000,98,50,126,75,46,3,9,0.333333333,-13.01,-0.3,-13.3,60.84
Duke,ACC,David Cutcliffe,,2458033,1305.047766,1305.047766,0,1305.047766,33941,82,40,93,69,55,4,8,0.5,-3.03,1.67,-1.36,73.35
East Carolina,AAC,Scottie Montgomery,48312311,2458033,566.2557781,566.2557781,436.5690806,566.2557781,50000,80,64,87,66,61,3,9,0.333333333,-2.71,-6.98,-9.69,74.88
Eastern Michigan,MAC,Chris Creighton,32311247,492413,236.2609142,236.2609142,202.8762198,241.3970211,30200,75,26,67,34,108,7,6,1.166666667,-1.73,-2.57,-4.3,72.43
Florida,SEC,Dan Mullen,149165475,3929800,3117.616846,3117.616846,475.0898819,3117.616846,88548,92,119,120,119,4,9,4,2.25,-2.62,13.6,10.98,74.4
Florida Atlantic,C-USA,Lane Kiffin,34509259,782787,513.6106831,513.6106831,590.6522856,534.1551104,30000,49,20,6,23,120,3,9,0.333333333,-4.18,-10.42,-14.6,69.14
Florida State,ACC,Willie Taggart,144514413,2458033,2568.053416,2568.053416,757.5757576,2568.053416,82300,68,116,28,85,30,10,3,3.333333333,9.49,5.52,15.01,86.38
